year,country,times
2002,巴西,7
2002,德国,7
2002,韩国,7
2002,土耳其,7
2002,西班牙,5
2002,英格兰,5
2002,美国,5
2002,塞内加尔,5
2002,比利时,4
2002,巴拉圭,4
2002,意大利,4
2002,墨西哥,4
2002,瑞典,4
2002,丹麦,4
2002,爱尔兰,4
2002,日本,4
2006,法国,7
2006,意大利,7
2006,德国,7
2006,葡萄牙,7
2006,巴西,5
2006,阿根廷,5
2006,英格兰,5
2006,乌克兰,5
2006,荷兰,4
2006,西班牙,4
2006,瑞士,4
2006,墨西哥,4
2006,瑞典,4
2006,澳大利亚,4
2006,厄瓜多尔,4
2006,迦纳,4
2010,乌拉圭,7
2010,荷兰,7
2010,德国,7
2010,西班牙,7
2010,巴西,5
2010,阿根廷,5
2010,巴拉圭,5
2010,迦纳,5
2010,智利,4
2010,墨西哥,4
2010,英格兰,4
2010,韩国,4
2010,葡萄牙,4
2010,美国,4
2010,日本,4
2010,斯洛伐克,4
2014,巴西,7
2014,阿根廷,7
2014,荷兰,7
2014,德国,7
2014,比利时,5
2014,法国,5
2014,哥伦比亚,5
2014,哥斯达黎加,5
2014,智利,4
2014,乌拉圭,4
2014,瑞士,4
2014,墨西哥,4
2014,阿尔及利亚,4
2014,美国,4
2014,尼日利亚,4
2014,希腊,4
2018,比利时,7
2018,法国,7
2018,英格兰,7
2018,克罗地亚,7
2018,巴西,5
2018,乌拉圭,5
2018,瑞典,5
2018,俄罗斯,5
2018,阿根廷,4
2018,西班牙,4
2018,瑞士,4
2018,墨西哥,4
2018,哥伦比亚,4
2018,葡萄牙,4
2018,丹麦,4
2018,日本,4
