id,country,times,win,goals,rate of winning,Average goal
1,Belgium,48,20,68,0.416666667,1.416666667
2,France,66,34,120,0.515151515,1.818181818
3,Brazil,109,73,229,0.669724771,2.100917431
4,Peru,18,5,21,0.277777778,1.166666667
5,Argentina,81,43,137,0.530864198,1.691358025
6,Chile,33,11,40,0.333333333,1.212121212
7,Bolivia,6,0,1,0,0.166666667
8,Paraguay,27,7,30,0.259259259,1.111111111
9,Uruguay,56,24,87,0.428571429,1.553571429
10,Austria,29,12,43,0.413793103,1.482758621
11,Czechoslovakia,30,11,44,0.366666667,1.466666667
12,Egypt,7,0,5,0,0.714285714
13,Italy,83,45,128,0.542168675,1.542168675
14,Netherlands,50,27,86,0.54,1.72
15,Germany,109,67,226,0.614678899,2.073394495
16,Cuba,3,1,5,0.333333333,1.666666667
17,Hungary,32,15,87,0.46875,2.71875
18,Spain,63,30,99,0.476190476,1.571428571
19,Switzerland,37,12,50,0.324324324,1.351351351
20,Mexico,57,16,60,0.280701754,1.052631579
21,England,69,29,91,0.420289855,1.31884058
22,Sweden,51,19,80,0.37254902,1.568627451
23,Scotland,23,4,25,0.173913043,1.086956522
24,Korea Republic,34,6,34,0.176470588,1
25,Colombia,22,9,32,0.409090909,1.454545455
26,Russia,45,19,77,0.422222222,1.711111111
27,Bulgaria,26,3,22,0.115384615,0.846153846
28,Korea DPR,7,1,6,0.142857143,0.857142857
29,Portugal,30,14,49,0.466666667,1.633333333
30,Israel,3,0,1,0,0.333333333
31,Morocco,16,2,14,0.125,0.875
32,El Salvador,6,0,1,0,0.166666667
33,Congo DR,3,0,0,0,0
34,German DR,6,2,5,0.333333333,0.833333333
35,Poland,34,16,46,0.470588235,1.352941176
36,Yugoslavia,33,14,55,0.424242424,1.666666667
37,Haiti,3,0,2,0,0.666666667
38,Australia,16,2,13,0.125,0.8125
39,Iran,15,2,9,0.133333333,0.6
40,Algeria,13,3,13,0.230769231,1
41,Honduras,9,0,3,0,0.333333333
42,Canada,3,0,0,0,0
43,Northern Ireland,13,3,13,0.230769231,1
44,Denmark,20,9,30,0.45,1.5
45,Iraq,3,0,1,0,0.333333333
46,United Arab Emirates,3,0,2,0,0.666666667
47,USA,33,8,37,0.242424242,1.121212121
48,Costa Rica,18,5,19,0.277777778,1.055555556
49,Cameroon,23,4,18,0.173913043,0.782608696
50,Ireland,13,2,10,0.153846154,0.769230769
51,Norway,8,2,7,0.25,0.875
52,Nigeria,21,6,23,0.285714286,1.095238095
53,Romania,21,8,30,0.380952381,1.428571429
54,Saudi Arabia,16,3,11,0.1875,0.6875
55,Greece,10,2,5,0.2,0.5
56,Jamaica,3,1,3,0.333333333,1
57,Serbia,13,4,11,0.307692308,0.846153846
58,South Africa,9,2,11,0.222222222,1.222222222
59,Japan,21,5,20,0.238095238,0.952380952
60,Croatia,23,11,35,0.47826087,1.52173913
61,China,3,0,0,0,0
62,Tunisia,15,2,13,0.133333333,0.866666667
63,Senegal,8,3,11,0.375,1.375
64,Slovenia,6,1,5,0.166666667,0.833333333
65,Ecuador,10,4,10,0.4,1
66,Turkey,10,5,20,0.5,2
67,Trinidad and Tobago,3,0,0,0,0
68,Angola,3,0,1,0,0.333333333
69,Czech Republic,3,1,3,0.333333333,1
70,Togo,3,0,1,0,0.333333333
71,Ivory Coast,9,3,13,0.333333333,1.444444444
72,Ghana,12,4,13,0.333333333,1.083333333
73,Ukraine,5,2,5,0.4,1
74,New Zealand,6,0,4,0,0.666666667
75,Slovakia,4,1,5,0.25,1.25
76,Bosnia-Herzegovina,3,1,4,0.333333333,1.333333333
77,Iceland,3,0,2,0,0.666666667
78,Panama,3,0,2,0,0.666666667
79,Indonesia,1,0,0,0,0
80,Wales,5,1,4,0.2,0.8
81,Kuwait,3,0,2,0,0.666666667
