date,home_team,away_team,home_score,away_score,result_n
1930,Belgium,USA,0,3,0
1930,France,Mexico,4,1,1
1930,Brazil,Yugoslavia,1,2,0
1930,Peru,Romania,1,3,0
1930,Argentina,France,1,0,1
1930,Chile,Mexico,3,0,1
1930,Bolivia,Yugoslavia,0,4,0
1930,Paraguay,USA,0,3,0
1930,Uruguay,Peru,1,0,1
1930,Argentina,Mexico,6,3,1
1930,Chile,France,1,0,1
1930,Belgium,Paraguay,0,1,0
1930,Bolivia,Brazil,0,4,0
1930,Uruguay,Romania,4,0,1
1930,Argentina,Chile,3,1,1
1930,Argentina,USA,6,1,1
1930,Uruguay,Yugoslavia,6,1,1
1930,Uruguay,Argentina,4,2,1
1934,Argentina,Sweden,2,3,0
1934,Austria,France,3,2,1
1934,Belgium,Germany,2,5,0
1934,Brazil,Spain,1,3,0
1934,Czechoslovakia,Romania,2,1,1
1934,Egypt,Hungary,2,4,0
1934,Italy,USA,7,1,1
1934,Netherlands,Switzerland,2,3,0
1934,Austria,Hungary,2,1,1
1934,Czechoslovakia,Switzerland,3,2,1
1934,Germany,Sweden,2,1,1
1934,Italy,Spain,1,1,-1
1934,Italy,Spain,1,0,1
1934,Czechoslovakia,Germany,3,1,1
1934,Italy,Austria,1,0,1
1934,Austria,Germany,2,3,0
1934,Italy,Czechoslovakia,2,1,1
1938,Germany,Switzerland,1,1,-1
1938,Brazil,Poland,6,5,1
1938,Cuba,Romania,3,3,-1
1938,Czechoslovakia,Netherlands,3,0,1
1938,France,Belgium,3,1,1
1938,Hungary,Indonesia,6,0,1
1938,Italy,Norway,2,1,1
1938,Cuba,Romania,2,1,1
1938,Germany,Switzerland,2,4,0
1938,Brazil,Czechoslovakia,1,1,-1
1938,Cuba,Sweden,0,8,0
1938,France,Italy,1,3,0
1938,Hungary,Switzerland,2,0,1
1938,Brazil,Czechoslovakia,2,1,1
1938,Brazil,Italy,1,2,0
1938,Hungary,Sweden,5,1,1
1938,Brazil,Sweden,4,2,1
1938,Hungary,Italy,2,4,0
1950,Brazil,Mexico,4,0,1
1950,Chile,England,0,2,0
1950,Italy,Sweden,2,3,0
1950,Spain,USA,3,1,1
1950,Switzerland,Yugoslavia,0,3,0
1950,Brazil,Switzerland,2,2,-1
1950,Mexico,Yugoslavia,1,4,0
1950,Chile,Spain,0,2,0
1950,England,USA,0,1,0
1950,Paraguay,Sweden,2,2,-1
1950,Brazil,Yugoslavia,2,0,1
1950,Bolivia,Uruguay,0,8,0
1950,Chile,USA,5,2,1
1950,England,Spain,0,1,0
1950,Italy,Paraguay,2,0,1
1950,Mexico,Switzerland,1,2,0
1950,Brazil,Sweden,7,1,1
1950,Spain,Uruguay,2,2,-1
1950,Brazil,Spain,6,1,1
1950,Sweden,Uruguay,2,3,0
1950,Brazil,Uruguay,1,2,0
1950,Spain,Sweden,1,3,0
1954,Austria,Scotland,1,0,1
1954,Brazil,Mexico,5,0,1
1954,Czechoslovakia,Uruguay,0,2,0
1954,France,Yugoslavia,0,1,0
1954,Belgium,England,4,4,-1
1954,Germany,Turkey,4,1,1
1954,Hungary,Korea Republic,9,0,1
