home_team,away_team,home_score,away_score,home_times,away_times,home_win,away_win,home_goals,away_goals,home_r_win,away_r_win,home_Ave_goal,away_Ave_goal,result
比利时,美国,0,3,48,33,20,8,68,37,0.416666667,0.242424242,1.416666667,1.121212121,0
法国,墨西哥,4,1,66,57,34,16,120,60,0.515151515,0.280701754,1.818181818,1.052631579,1
巴西,南斯拉夫,1,2,109,33,73,14,229,55,0.669724771,0.424242424,2.100917431,1.666666667,0
秘鲁,罗马尼亚,1,3,18,21,5,8,21,30,0.277777778,0.380952381,1.166666667,1.428571429,0
阿根廷,法国,1,0,81,66,43,34,137,120,0.530864198,0.515151515,1.691358025,1.818181818,1
智利,墨西哥,3,0,33,57,11,16,40,60,0.333333333,0.280701754,1.212121212,1.052631579,1
玻利维亚,南斯拉夫,0,4,6,33,0,14,1,55,0,0.424242424,0.166666667,1.666666667,0
巴拉圭,美国,0,3,27,33,7,8,30,37,0.259259259,0.242424242,1.111111111,1.121212121,0
乌拉圭,秘鲁,1,0,56,18,24,5,87,21,0.428571429,0.277777778,1.553571429,1.166666667,1
阿根廷,墨西哥,6,3,81,57,43,16,137,60,0.530864198,0.280701754,1.691358025,1.052631579,1
智利,法国,1,0,33,66,11,34,40,120,0.333333333,0.515151515,1.212121212,1.818181818,1
比利时,巴拉圭,0,1,48,27,20,7,68,30,0.416666667,0.259259259,1.416666667,1.111111111,0
玻利维亚,巴西,0,4,6,109,0,73,1,229,0,0.669724771,0.166666667,2.100917431,0
乌拉圭,罗马尼亚,4,0,56,21,24,8,87,30,0.428571429,0.380952381,1.553571429,1.428571429,1
阿根廷,智利,3,1,81,33,43,11,137,40,0.530864198,0.333333333,1.691358025,1.212121212,1
阿根廷,美国,6,1,81,33,43,8,137,37,0.530864198,0.242424242,1.691358025,1.121212121,1
乌拉圭,南斯拉夫,6,1,56,33,24,14,87,55,0.428571429,0.424242424,1.553571429,1.666666667,1
乌拉圭,阿根廷,4,2,56,81,24,43,87,137,0.428571429,0.530864198,1.553571429,1.691358025,1
阿根廷,瑞典,2,3,81,51,43,19,137,80,0.530864198,0.37254902,1.691358025,1.568627451,0
奥地利,法国,3,2,29,66,12,34,43,120,0.413793103,0.515151515,1.482758621,1.818181818,1
