,country,times,win,goals,rate of winning,Average goal
0,比利时,0.4351851851851852,0.273972602739726,0.29694323144104806,0.6221461187214612,0.521072796934866
1,法国,0.6018518518518519,0.4657534246575342,0.5240174672489083,0.7691988376919884,0.6687565308254962
2,巴西,1.0,1.0,1.0,1.0,0.7727512390593694
3,秘鲁,0.1574074074074074,0.0684931506849315,0.09170305676855896,0.4147640791476408,0.42911877394636017
4,阿根廷,0.7407407407407407,0.589041095890411,0.5982532751091703,0.7926602401488246,0.6221086987370513
5,智利,0.2962962962962963,0.1506849315068493,0.17467248908296942,0.4977168949771689,0.44583768721699757
6,玻利维亚,0.046296296296296294,0.0,0.004366812227074236,0.0,0.06130268199233716
7,巴拉圭,0.24074074074074073,0.0958904109589041,0.13100436681222707,0.38711314053779805,0.4086845466155811
8,乌拉圭,0.5092592592592593,0.3287671232876712,0.3799126637554585,0.639921722113503,0.5714285714285714
9,奥地利,0.25925925925925924,0.1643835616438356,0.18777292576419213,0.617855455833727,0.5453824811732065
10,捷克斯洛伐克,0.26851851851851855,0.1506849315068493,0.19213973799126638,0.5474885844748857,0.539463601532567
11,埃及,0.05555555555555555,0.0,0.021834061135371178,0.0,0.2627257799671593
12,意大利,0.7592592592592593,0.6164383561643836,0.5589519650655022,0.8095395279749134,0.5672344550616258
13,荷兰,0.4537037037037037,0.3698630136986301,0.37554585152838427,0.8063013698630138,0.6326436781609195
14,德国,1.0,0.9178082191780822,0.9868995633187773,0.9178082191780822,0.7626278603817357
15,古巴,0.018518518518518517,0.0136986301369863,0.021834061135371178,0.4977168949771689,0.6130268199233717
16,匈牙利,0.28703703703703703,0.2054794520547945,0.3799126637554585,0.6999143835616438,1.0
17,西班牙,0.5740740740740741,0.410958904109589,0.43231441048034935,0.71102413568167,0.5779967159277504
18,瑞士,0.3333333333333333,0.1643835616438356,0.2183406113537118,0.4842650870048131,0.49704877291084176
19,墨西哥,0.5185185185185185,0.2191780821917808,0.26200873362445415,0.4191300168228791,0.3871748336358137
20,英格兰,0.6296296296296297,0.3972602739726027,0.39737991266375544,0.627556084971213,0.48509078793936367
21,瑞典,0.46296296296296297,0.2602739726027397,0.34934497816593885,0.5562718237980124,0.5769664187514085
22,苏格兰,0.2037037037037037,0.0547945205479452,0.1091703056768559,0.2596783799880881,0.39980009995002497
23,韩国,0.25925925925925924,0.0821917808219178,0.12663755458515283,0.3089277279168635,0.367816091954023
24,哥伦比亚,0.19444444444444445,0.1232876712328767,0.13973799126637554,0.6108343711083437,0.5350052246603971
25,俄罗斯,0.4074074074074074,0.2602739726027397,0.33624454148471616,0.630441400304414,0.6293742017879947
26,保加利亚,0.23148148148148148,0.0410958904109589,0.09606986899563319,0.17228661749209698,0.31122900088417327
27,朝鲜,0.10185185185185185,0.0136986301369863,0.048034934497816595,0.12442922374429223,0.3371647509578544
28,葡萄牙,0.26851851851851855,0.1917808219178082,0.21397379912663755,0.6968036529680366,0.6007662835249042
29,以色列,0.018518518518518517,0.0,0.004366812227074236,0.0,0.12260536398467432
30,摩洛哥,0.1388888888888889,0.0273972602739726,0.0611353711790393,0.18664383561643835,0.3218390804597701
