home_team,away_team,home_times,away_times,home_win,away_win,home_goals,away_goals,home_r_win,away_r_win,home_Ave_goal,away_Ave_goal,result
比利时,美国,48,33,20,8,68,37,0.4166666666666667,0.24242424242424246,1.4166666666666667,1.1212121212121209,0
法国,墨西哥,66,57,34,16,120,60,0.5151515151515151,0.2807017543859649,1.818181818181818,1.0526315789473684,1
巴西,南斯拉夫,109,33,73,14,229,55,0.6697247706422018,0.42424242424242425,2.1009174311926606,1.6666666666666667,0
秘鲁,罗马尼亚,18,21,5,8,21,30,0.2777777777777778,0.3809523809523809,1.1666666666666667,1.4285714285714286,0
阿根廷,法国,81,66,43,34,137,120,0.5308641975308642,0.5151515151515151,1.6913580246913582,1.818181818181818,1
智利,墨西哥,33,57,11,16,40,60,0.3333333333333333,0.2807017543859649,1.2121212121212122,1.0526315789473684,1
玻利维亚,南斯拉夫,6,33,0,14,1,55,0.0,0.42424242424242425,0.16666666666666666,1.6666666666666667,0
巴拉圭,美国,27,33,7,8,30,37,0.25925925925925924,0.24242424242424246,1.1111111111111112,1.1212121212121209,0
乌拉圭,秘鲁,56,18,24,5,87,21,0.42857142857142855,0.2777777777777778,1.5535714285714286,1.1666666666666667,1
阿根廷,墨西哥,81,57,43,16,137,60,0.5308641975308642,0.2807017543859649,1.6913580246913582,1.0526315789473684,1
智利,法国,33,66,11,34,40,120,0.3333333333333333,0.5151515151515151,1.2121212121212122,1.818181818181818,1
比利时,巴拉圭,48,27,20,7,68,30,0.4166666666666667,0.25925925925925924,1.4166666666666667,1.1111111111111112,0
玻利维亚,巴西,6,109,0,73,1,229,0.0,0.6697247706422018,0.16666666666666666,2.1009174311926606,0
乌拉圭,罗马尼亚,56,21,24,8,87,30,0.42857142857142855,0.3809523809523809,1.5535714285714286,1.4285714285714286,1
阿根廷,智利,81,33,43,11,137,40,0.5308641975308642,0.3333333333333333,1.6913580246913582,1.2121212121212122,1
阿根廷,美国,81,33,43,8,137,37,0.5308641975308642,0.24242424242424246,1.6913580246913582,1.1212121212121209,1
